region_bucket;Yaşınız;Cins;Stadiona getmək üçün hansı vasitədən istifadə etmisiniz?
Tovuz şəhəri;37;Kişi;Piyada
Qeyd olunmayıb;42;Kişi;Piyada
Qeyd olunmayıb;33;Qadın;Taksi
Kənd (Tovuz rayonu);34;Kişi;İctimai nəqliyyat
Qeyd olunmayıb;45;Kişi;Şəxsi avtomobil
Qeyd olunmayıb;33;Kişi;Taksi
Tovuz şəhəri;37;Kişi;İctimai nəqliyyat
Kənd (Tovuz rayonu);25;Kişi;Şəxsi avtomobil
Kənd (Tovuz rayonu);30;Kişi;Taksi
Qeyd olunmayıb;19;Qadın;Piyada
Kənd (Tovuz rayonu);16;Qadın;Taksi
Kənd (Tovuz rayonu);46;Kişi;Şəxsi avtomobil
Tovuz şəhəri;57;Kişi;Şəxsi avtomobil
Kənd (Tovuz rayonu);25;Kişi;Şəxsi avtomobil
Tovuz şəhəri;40;Kişi;Şəxsi avtomobil
Qeyd olunmayıb;35;Kişi;İctimai nəqliyyat
Qeyd olunmayıb;39;Kişi;Şəxsi avtomobil
Kənd (Tovuz rayonu);22;Kişi;Taksi
Tovuz şəhəri;23;Kişi;Piyada
Qeyd olunmayıb;36;Kişi;Taksi
Tovuz şəhəri;43;Kişi;Şəxsi avtomobil
Qeyd olunmayıb;38;Kişi;Şəxsi avtomobil
Qeyd olunmayıb;43;Kişi;Şəxsi avtomobil
Tovuz şəhəri;40;Kişi;Şəxsi avtomobil
Kənd (Tovuz rayonu);28;Kişi;Şəxsi avtomobil
Kənd (Tovuz rayonu);34;Kişi;Şəxsi avtomobil
Qeyd olunmayıb;46;Kişi;Şəxsi avtomobil
Qeyd olunmayıb;40;Kişi;Şəxsi avtomobil
Qeyd olunmayıb;56;Kişi;Şəxsi avtomobil
Kənd (Tovuz rayonu);29;Kişi;Şəxsi avtomobil
Digər (Bakı və s.);46;Kişi;Şəxsi avtomobil
Kənd (Tovuz rayonu);28;Kişi;İctimai nəqliyyat
Kənd (Tovuz rayonu);30;Kişi;İctimai nəqliyyat
Kənd (Tovuz rayonu);55;Kişi;Şəxsi avtomobil
Kənd (Tovuz rayonu);43;Kişi;Şəxsi avtomobil
Kənd (Tovuz rayonu);38;Kişi;Şəxsi avtomobil
Kənd (Tovuz rayonu);34;Kişi;Şəxsi avtomobil
Kənd (Tovuz rayonu);36;Kişi;Şəxsi avtomobil
Kənd (Tovuz rayonu);40;Kişi;İctimai nəqliyyat
Tovuz şəhəri;35;Kişi;Piyada
Tovuz şəhəri;35;Kişi;Piyada
Tovuz şəhəri;39;Kişi;Piyada
Tovuz şəhəri;37;Kişi;Piyada
Tovuz şəhəri;27;Kişi;Şəxsi avtomobil
Tovuz şəhəri;39;Kişi;Piyada
Tovuz şəhəri;29;Kişi;Piyada
Tovuz şəhəri;30;Kişi;Piyada
Tovuz şəhəri;60;Kişi;Şəxsi avtomobil
Tovuz şəhəri;71;Kişi;Piyada
Kənd (Tovuz rayonu);24;Kişi;Taksi
Qeyd olunmayıb;34;Kişi;Şəxsi avtomobil
Qeyd olunmayıb;45;Kişi;İctimai nəqliyyat
