Timestamp;Cins;Geri_Qayidacaqmi;Tovsiye_Edecekmi;region_bucket;Stadionda neçə sponsor reklamı gördünüz?;Sual;Reytinq
2025-03-19 15:47:08.896;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Bilet alma prosesini necə qiymətləndirirsiniz?;10.00
2025-03-18 12:57:01.184;Kişi;Bəli;Bəli;Qeyd olunmayıb;3;Bilet alma prosesini necə qiymətləndirirsiniz?;10.00
2025-03-18 12:07:38.943;Qadın;Bəli;Bəli;Qeyd olunmayıb;3;Bilet alma prosesini necə qiymətləndirirsiniz?;10.00
2025-03-19 14:06:35.732;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);1;Bilet alma prosesini necə qiymətləndirirsiniz?;10.00
2025-03-17 20:44:32.298;Kişi;Bəli;Bəli;Qeyd olunmayıb;2;Bilet alma prosesini necə qiymətləndirirsiniz?;10.00
2025-03-18 12:46:55.111;Kişi;Bəli;Bəli;Qeyd olunmayıb;1;Bilet alma prosesini necə qiymətləndirirsiniz?;10.00
2025-03-18 14:54:26.549;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Bilet alma prosesini necə qiymətləndirirsiniz?;8.00
2025-03-18 13:46:38.504;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);1;Bilet alma prosesini necə qiymətləndirirsiniz?;10.00
2025-03-19 15:32:44.205;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);1;Bilet alma prosesini necə qiymətləndirirsiniz?;5.00
2025-03-17 20:02:28.512;Qadın;Bəli;Bəli;Qeyd olunmayıb;1;Bilet alma prosesini necə qiymətləndirirsiniz?;8.00
2025-03-18 14:06:11.826;Qadın;Bəli;Bəli;Kənd (Tovuz rayonu);1;Bilet alma prosesini necə qiymətləndirirsiniz?;10.00
2025-03-19 11:55:36.203;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);2;Bilet alma prosesini necə qiymətləndirirsiniz?;8.00
2025-03-18 14:39:40.470;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Bilet alma prosesini necə qiymətləndirirsiniz?;9.00
2025-03-18 13:55:34.562;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);1;Bilet alma prosesini necə qiymətləndirirsiniz?;10.00
2025-03-18 16:28:49.937;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Bilet alma prosesini necə qiymətləndirirsiniz?;10.00
2025-03-18 12:33:41.752;Kişi;Xeyr;Xeyr;Qeyd olunmayıb;3;Bilet alma prosesini necə qiymətləndirirsiniz?;3.00
2025-03-18 12:13:15.059;Kişi;Bəli;Bəli;Qeyd olunmayıb;2;Bilet alma prosesini necə qiymətləndirirsiniz?;10.00
2025-03-19 12:20:37.727;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);0;Bilet alma prosesini necə qiymətləndirirsiniz?;7.00
