Cins;Məşğuliyyət;yas_qrupu;Stadion ərazisində satışda olan qida və içkilər almısınızmı?;Oyun zamanı satışda olan qida və içkilərə ortalama nə qədər pul xərcləmisiniz? məbləğ(AZN);Stadion ərazisindəki fanşopdan klubun məhsullarını almısınızmı?;Oyun zamanı satışda olan klubun məhsullarına nə qədər pul xərcləmisiniz?;"Stadionda son izlədiyiniz oyunu sizinlə gələnlərin arasında uşaq var idi? bir neçə uşaq gəlmişdirsə, sayı ""digər"" bölməsində qeyd edə bilərsiniz"
Kişi;İşləyirəm;30-39;Bəli;1.00;Xeyr;;Xeyr
Kişi;İşsizəm;40-49;Bəli;1.00;Xeyr;;Xeyr
Qadın;İşsizəm;30-39;Bəli;1.00;Bəli;10.00;Bəli
Kişi;USTA;30-39;Bəli;2.00;Bəli;2.00;Bəli
Kişi;İşləyirəm;40-49;Bəli;2.00;Bəli;5.00;Bəli
Kişi;İşsizəm;30-39;Bəli;2.00;Xeyr;;Bəli
Kişi;İşləyirəm;30-39;Bəli;4.00;Xeyr;;Bəli
Kişi;İşləyirəm;20-29;Bəli;5.00;Xeyr;;Xeyr
Kişi;İşləyirəm;30-39;Bəli;5.00;Xeyr;;Xeyr
Qadın;Tələbə;<20;Bəli;5.00;Xeyr;;Bəli
Qadın;Məktəbli;<20;Bəli;6.00;Xeyr;;Xeyr
Kişi;İşsizəm;40-49;Bəli;6.00;Xeyr;;Xeyr
Kişi;İşləyirəm;50+;Bəli;7.00;Xeyr;;Bəli
Kişi;İşləyirəm;20-29;Bəli;10.00;Xeyr;;Xeyr
Kişi;İşləyirəm;40-49;Bəli;10.00;Xeyr;;Xeyr
Kişi;İşləyirəm;30-39;Bəli;10.00;Xeyr;;Bəli
Kişi;İşləyirəm;30-39;Bəli;15.00;Bəli;45.00;Bəli
Kişi;İşsizəm;20-29;Bəli;18.00;Xeyr;;Xeyr
Kişi;İşləyirəm;20-29;Bəli;20.00;Xeyr;;Xeyr
Kişi;İşləyirəm;30-39;Bəli;20.00;Xeyr;;Bəli
Kişi;İşləyirəm;40-49;Bəli;10.00;Xeyr;;Bəli
Kişi;İşləyirəm;30-39;Bəli;10.00;Xeyr;;Bəli
Kişi;İşləyirəm;40-49;Bəli;3.50;Xeyr;;Bəli
Kişi;İşləyirəm;40-49;Bəli;5.50;Xeyr;;Xeyr
Kişi;Avtomobil ustasi;20-29;Bəli;5.50;Bəli;30.00;Xeyr
Kişi;İşsizəm;30-39;Bəli;5.00;Bəli;85.00;Bəli
Kişi;İşləyirəm;40-49;Bəli;7.50;Bəli;40.00;Bəli
Kişi;İşləyirəm;40-49;Bəli;8.00;Xeyr;;Bəli
Kişi;Təqaüdçü;50+;Bəli;8.00;Xeyr;;Xeyr
Kişi;İşsizəm;20-29;Xeyr;;Bəli;5.00;Xeyr
Kişi;İşləyirəm;40-49;Xeyr;;Xeyr;;Xeyr
Kişi;İşləyirəm;20-29;Xeyr;;Xeyr;;Xeyr
Kişi;İşləyirəm;30-39;Xeyr;;Xeyr;;Bəli
Kişi;İşsizəm;50+;Xeyr;;Xeyr;;Bəli
Kişi;Təqaüdçü;40-49;Xeyr;;Xeyr;;Xeyr
Kişi;İşləyirəm;30-39;Xeyr;;Xeyr;;Bəli
Kişi;İşsizəm;30-39;Xeyr;;Bəli;;Bəli
Kişi;İşləyirəm;30-39;Xeyr;;Xeyr;;Bəli
Kişi;İşsizəm;40-49;Xeyr;;Xeyr;;Xeyr
Kişi;İşləyirəm;30-39;Xeyr;;Xeyr;;Bəli
Kişi;İşləyirəm;30-39;Xeyr;;Xeyr;;Bəli
Kişi;İşsizəm;30-39;Xeyr;;Xeyr;;Xeyr
Kişi;İşləyirəm;30-39;Xeyr;;Xeyr;;Bəli
Kişi;İşləyirəm;20-29;Xeyr;;Xeyr;;Xeyr
Kişi;İşləyirəm;30-39;Xeyr;;Xeyr;;Bəli
Kişi;İşləyirəm;20-29;Xeyr;;Xeyr;;Bəli
Kişi;İşləyirəm;30-39;Xeyr;;Xeyr;;Xeyr
Kişi;İşsizəm;50+;Xeyr;;Xeyr;;Bəli
Kişi;Təqaüdçü;50+;Xeyr;;Xeyr;;Bəli
Kişi;İşləyirəm;20-29;Xeyr;;Xeyr;;Bəli
Kişi;İşləyirəm;30-39;Xeyr;;Xeyr;;Xeyr
Kişi;İşləyirəm;40-49;Xeyr;;Xeyr;;Xeyr
